RSTR_ID,MENU_NM,MENU_DSCRN,MENU_CTGRY_LCLAS_NM,MENU_CTGRY_SCLAS_NM,RSTR_NM,AREA_NM,MENU_PRICE,RSTR_RDNMADR,RSTR_LNNO_ADRES,BSNS_STATM_BZCND_NM,BSNS_LCNC_NM,RSTR_INTRCN_CONT,PRDL_SEAT_CNT,SEAT_CNT,PRKG_POS_YN,WIFI_OFR_YN,DCRN_YN,PET_ENTRN_POSBL_YN,FGGG_MENU_OFR_YN,TLROM_INFO_CN,RESTDY_INFO_CN,BSNS_TM_CN,HMDLV_SALE_YN,DSBR_CVNTL_YN,DELV_SRVIC_YN,CRCMF_LDMARK_NM,CRCMF_LDMARK_DIST,MB_PMAMT_YN,REPRSNT_MENU_NM,AWARD_INFO_DSCRN,ONLINE_CONV_PRGS_YN,NAVER_GRAD
2237,꽃게탕 (1인),"야채,꽃게",한식,꽃게,거북집,부산광역시 서구,7000.0,부산광역시 서구 충무대로82번길 35,부산광역시 서구 암남동 141-6,한식,일반음식점,"부산광역시 서구에서 맛집을 찾으신다면 ""거북집""을 추천합니다. 50년 이상의 전통을 자랑합니다.",,,Y,N,N,N,Y,N,,매일 06:00~22:00,N,N,N,송도해상케이블카,233.768319,N,,,Y,4.0999999
2542,전골,"야채,오리고기",한식,전골,남해복국,부산광역시 서구,13000.0,부산광역시 서구 충무대로201번길 9,부산광역시 서구 남부민동 652-8,회집,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 서구 맛집, ""남해복국""을 추천합니다!",,,Y,N,N,N,Y,N,일요일,매일 09:30~21:30,N,N,N,부산공동어시장,280.466408,N,,,Y,3.8599999
2543,정식,장어,한식,정식,구내식당,부산광역시 서구,6000.0,부산광역시 서구 충무대로 202,부산광역시 서구 남부민동 691-3,분식,일반음식점,"""구내식당""을 부산광역시 서구의 가 볼 만한 식당으로 추천합니다!",,,N,N,N,N,Y,N,일요일,매일 06:00~18:00,N,N,N,부산공동어시장,147.726203,N,,,Y,4.4299998
2544,정식,장어,한식,정식,신풍식당,부산광역시 서구,5000.0,부산광역시 서구 충무대로201번길 5,부산광역시 서구 남부민동 652-6,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 서구 맛집, ""신풍식당""을 추천합니다!",,,N,N,N,N,Y,N,일요일,매일 07:00~17:00,N,N,N,부산공동어시장,266.918356,N,,,Y,4.25
2546,정식,장어,한식,정식,구내식당,부산광역시 서구,6000.0,부산광역시 서구 충무대로 202,부산광역시 서구 남부민동 691-3,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 부산광역시 서구에 계시다면 ""구내식당""을 추천합니다!",,,N,N,N,N,Y,N,일요일,매일 06:00~18:00,N,N,N,부산공동어시장,147.726203,N,,,Y,4.4299998
2547,물회,"야채,고추,해산물",한식,물회,곤포횟집,부산광역시 서구,12000.0,부산광역시 서구 송도해변로 147,부산광역시 서구 암남동 128-7,회집,일반음식점,"2013년 08월 20일 KBS1 6시내고향 5339회, 2012년 11월 08일 KBS1 6시내고향 5141회 등 많은 방송에 등장한 바로 그 곳! 부산광역시 서구에 가시면 소문난 맛집 ""곤포횟집""을 방문해보세요! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,N,N,N,N,Y,N,,매일 11:00~20:00,N,N,N,송도해상케이블카,94.960455,N,,안심식당(농림축산식품부),Y,4.4000001
2561,족발(小),돼지고기,한식,족발,평안도족발,부산광역시 해운대구,30000.0,부산광역시 해운대구 달맞이길 14,부산광역시 해운대구 중동 1151-9,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 해운대구 맛집, ""평안도족발""을 추천합니다!",,,N,N,N,N,Y,N,,매일 12:00~24:00,N,N,N,해운대해수욕장,640.167724,N,,,Y,4.3099999
2562,짜장면,"야채,돼지고기,면",중식,짜장면,부창루,부산광역시 해운대구,5000.0,부산광역시 해운대구 우동2로 15,부산광역시 해운대구 우동 520-3,중국식,일반음식점,"""부창루""는 부산광역시 해운대구에 있습니다.",,,N,N,N,N,Y,N,,,N,N,N,,,N,,,Y,4.0
2568,돼지국밥,"야채,돼지고기,쌀",한식,국밥,삼거리돼지국밥,부산광역시 수영구,6000.0,부산광역시 수영구 수영로521번길 13-6,부산광역시 수영구 광안동 380-28,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 부산광역시 수영구에 계시다면 ""삼거리돼지국밥""을 추천합니다!",,,N,N,N,N,Y,N,,매일 10:00~21:00,N,N,N,,,N,,,Y,4.5
2925,전복(大),전복,한식,전복,삼영횟집,부산광역시 서구,80000.0,부산광역시 서구 송도해변로 83-1,부산광역시 서구 암남동 355-24,회집,일반음식점,"부산광역시 서구에서 식당을 찾으신다면? ""삼영횟집""을 방문해보세요! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,Y,Y,N,N,Y,N,수요일,매일 10:00~22:00,N,N,N,송도해상케이블카,603.423966,N,,안심식당(농림축산식품부),Y,4.6300001
2926,조개구이(小/2인),조개,한식,구이,산호옥,부산광역시 서구,40000.0,부산광역시 서구 송도해변로 145,부산광역시 서구 암남동 126-2,회집,일반음식점,"""산호옥""을 부산광역시 서구의 가 볼 만한 식당으로 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,N,N,N,N,Y,N,,매일 11:00~24:00,N,N,N,송도해상케이블카,104.662347,N,,안심식당(농림축산식품부),Y,4.46
2927,양념치킨,"닭고기,밀가루",일식,양념치킨,지코바치킨,부산광역시 서구,18000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2969,떡볶이,"야채,떡,어묵",한식,떡볶이,남천할매떡볶이,부산광역시 수영구,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,
3279,하모회 (여름),"생선회,갯장어",한식,,멍기,부산광역시 서구,40000.0,부산광역시 서구 송도해변로 147-1,부산광역시 서구 암남동 127-2,회집,일반음식점,"부산광역시 서구에서 가 볼 만한 식당을 찾으신다면? ""멍기""를 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,N,N,N,N,Y,N,화요일,매일 09:00~24:00,N,N,N,송도해상케이블카,86.770245,N,,안심식당(농림축산식품부),Y,4.3400002
